"customer_key";"customer_id";"store_id";"first_name";"last_name";"email";"address_id";"create_date"
1;1;1;"MARY";"SMITH";"MARY.SMITH@sakilacustomer.org";5;"2006-02-14 22:04:36"
2;2;1;"PATRICIA";"JOHNSON";"PATRICIA.JOHNSON@sakilacustomer.org";6;"2006-02-14 22:04:36"
3;3;1;"LINDA";"WILLIAMS";"LINDA.WILLIAMS@sakilacustomer.org";7;"2006-02-14 22:04:36"
4;4;2;"BARBARA";"JONES";"BARBARA.JONES@sakilacustomer.org";8;"2006-02-14 22:04:36"
5;5;1;"ELIZABETH";"BROWN";"ELIZABETH.BROWN@sakilacustomer.org";9;"2006-02-14 22:04:36"
6;6;2;"JENNIFER";"DAVIS";"JENNIFER.DAVIS@sakilacustomer.org";10;"2006-02-14 22:04:36"
7;7;1;"MARIA";"MILLER";"MARIA.MILLER@sakilacustomer.org";11;"2006-02-14 22:04:36"
8;8;2;"SUSAN";"WILSON";"SUSAN.WILSON@sakilacustomer.org";12;"2006-02-14 22:04:36"
9;9;2;"MARGARET";"MOORE";"MARGARET.MOORE@sakilacustomer.org";13;"2006-02-14 22:04:36"
10;10;1;"DOROTHY";"TAYLOR";"DOROTHY.TAYLOR@sakilacustomer.org";14;"2006-02-14 22:04:36"
11;11;2;"LISA";"ANDERSON";"LISA.ANDERSON@sakilacustomer.org";15;"2006-02-14 22:04:36"
12;12;1;"NANCY";"THOMAS";"NANCY.THOMAS@sakilacustomer.org";16;"2006-02-14 22:04:36"
13;13;2;"KAREN";"JACKSON";"KAREN.JACKSON@sakilacustomer.org";17;"2006-02-14 22:04:36"
14;14;2;"BETTY";"WHITE";"BETTY.WHITE@sakilacustomer.org";18;"2006-02-14 22:04:36"
15;15;1;"HELEN";"HARRIS";"HELEN.HARRIS@sakilacustomer.org";19;"2006-02-14 22:04:36"
16;16;2;"SANDRA";"MARTIN";"SANDRA.MARTIN@sakilacustomer.org";20;"2006-02-14 22:04:36"
17;17;1;"DONNA";"THOMPSON";"DONNA.THOMPSON@sakilacustomer.org";21;"2006-02-14 22:04:36"
18;18;2;"CAROL";"GARCIA";"CAROL.GARCIA@sakilacustomer.org";22;"2006-02-14 22:04:36"
19;19;1;"RUTH";"MARTINEZ";"RUTH.MARTINEZ@sakilacustomer.org";23;"2006-02-14 22:04:36"
20;20;2;"SHARON";"ROBINSON";"SHARON.ROBINSON@sakilacustomer.org";24;"2006-02-14 22:04:36"
21;21;1;"MICHELLE";"CLARK";"MICHELLE.CLARK@sakilacustomer.org";25;"2006-02-14 22:04:36"
22;22;1;"LAURA";"RODRIGUEZ";"LAURA.RODRIGUEZ@sakilacustomer.org";26;"2006-02-14 22:04:36"
23;23;2;"SARAH";"LEWIS";"SARAH.LEWIS@sakilacustomer.org";27;"2006-02-14 22:04:36"
24;24;2;"KIMBERLY";"LEE";"KIMBERLY.LEE@sakilacustomer.org";28;"2006-02-14 22:04:36"
25;25;1;"DEBORAH";"WALKER";"DEBORAH.WALKER@sakilacustomer.org";29;"2006-02-14 22:04:36"
26;26;2;"JESSICA";"HALL";"JESSICA.HALL@sakilacustomer.org";30;"2006-02-14 22:04:36"
27;27;2;"SHIRLEY";"ALLEN";"SHIRLEY.ALLEN@sakilacustomer.org";31;"2006-02-14 22:04:36"
28;28;1;"CYNTHIA";"YOUNG";"CYNTHIA.YOUNG@sakilacustomer.org";32;"2006-02-14 22:04:36"
29;29;2;"ANGELA";"HERNANDEZ";"ANGELA.HERNANDEZ@sakilacustomer.org";33;"2006-02-14 22:04:36"
30;30;1;"MELISSA";"KING";"MELISSA.KING@sakilacustomer.org";34;"2006-02-14 22:04:36"
31;31;2;"BRENDA";"WRIGHT";"BRENDA.WRIGHT@sakilacustomer.org";35;"2006-02-14 22:04:36"
